,Country,Year,New Age-Standardized Death Rate
10358,Israel,2015,528.22450024
10429,Italy,2019,1079.1864062
10450,Iceland,2017,651.13664988
10472,Israel,2018,501.38667408
10708,Israel,2017,511.81717343
10769,Jordan,2016,196.1004726
10809,Italy,2016,1019.4763439
10862,Jordan,2015,207.08837947
10879,Italy,2015,1063.7935266
11041,Italy,2017,1074.7429299
11066,Japan,2015,1029.724879
11154,Japan,2018,1096.8353009
11194,Jordan,2018,161.42987108
11312,Kyrgyzstan,2019,515.68067293
11357,Brunei Darussalam,2018,364.3761302
11382,Japan,2019,1116.2045368
11408,Kyrgyzstan,2018,521.72070253
11439,Kazakhstan,2018,713.74903619
11508,Kazakhstan,2017,715.21568721
11530,Japan,2016,1046.0289266
11704,Republic of Korea,2019,574.84380206
11837,Kyrgyzstan,2015,584.31117201
11844,Kazakhstan,2015,746.85396126
11938,Kyrgyzstan,2017,535.06795634
12127,Kuwait,2017,150.50962347
12145,Kuwait,2016,146.36372286
12157,Republic of Korea,2016,549.42413199
12175,Republic of Korea,2015,541.48319232
12219,Brunei Darussalam,2015,372.85463971
12293,Republic of Korea,2017,557.34935831
12437,Kuwait,2019,157.08419399
12478,Lebanon,2019,270.48973608
12542,Saint Lucia,2019,707.91618798
12587,Saint Lucia,2015,615.76767192
12661,Lithuania,2019,1370.0473527
12868,Luxembourg,2019,646.44692095
12884,Saint Lucia,2017,654.30993512
12933,Luxembourg,2018,658.44284764
12957,Saint Lucia,2016,634.35986313
12995,Lithuania,2016,1433.1481669
13058,Lithuania,2015,1438.1168436
13173,Lithuania,2017,1419.2461258
13245,Canada,2015,733.71465078
13309,Luxembourg,2015,673.97700859
13351,Switzerland,2018,787.94230291
13431,Republic of Moldova,2018,1049.3285989
13471,Latvia,2018,1480.4060246
13488,Latvia,2017,1465.260873
13526,Republic of Moldova,2017,1035.9812527
13547,Luxembourg,2016,661.23011425
13766,Chile,2019,578.60795762
13810,Latvia,2015,1425.2649901
13847,Maldives,2019,213.20154515
13906,Maldives,2016,264.97754
13959,Republic of Moldova,2016,1083.5444378
13974,Maldives,2015,256.09179737
13994,Mexico,2019,571.47088138
14067,Mexico,2018,558.79594
14141,Mexico,2017,551.75730488
14161,Chile,2018,570.21243879
14310,Mexico,2016,544.48846029
14437,North Macedonia,2018,950.14153145
14456,North Macedonia,2017,979.41578268
14628,Mexico,2015,525.93070877
14661,Malta,2017,762.94289572
14678,Malta,2016,734.06381063
